display,id,object_type,natural_slug,log_level,grouping,message,log_object,absolute_url,job_result__id,created
"Unable to perform a validated_save() on Device SW-GT-VMS-Port-Pista with an ID of 94f5b940-48f1-4c4d-961a-377e0cff480f. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",4ddbd942-b729-4fcd-b793-692af8006a16,extras.joblogentry,unknown,error,create,"Unable to perform a validated_save() on Device SW-GT-VMS-Port-Pista with an ID of 94f5b940-48f1-4c4d-961a-377e0cff480f. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:57.114437+01:00
"Unable to perform a validated_save() on Device c9200-Presentazione-Uffici-Fiorano with an ID of 6ea1cc77-54d1-461c-915e-1fd5024af0bf. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",cf991c1b-624f-4ac4-b444-61aa671d31cb,extras.joblogentry,unknown,error,create,"Unable to perform a validated_save() on Device c9200-Presentazione-Uffici-Fiorano with an ID of 6ea1cc77-54d1-461c-915e-1fd5024af0bf. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:57.145948+01:00
"Unable to perform a validated_save() on Device C3850-PRE-EsperienzeFerrari with an ID of a3b501d5-8453-4139-9863-6bdb04f71e55. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",e6d9838b-893a-468b-8860-2e39d16bbd1b,extras.joblogentry,unknown,error,create,"Unable to perform a validated_save() on Device C3850-PRE-EsperienzeFerrari with an ID of a3b501d5-8453-4139-9863-6bdb04f71e55. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:57.186384+01:00
"Unable to perform a validated_save() on Device AP-EsperienzeFerrari03 with an ID of 48e04ce8-43ae-4d2f-b00d-4564284165af. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",21d4dd1f-612c-4856-8d45-d8ea8be7f195,extras.joblogentry,unknown,error,create,"Unable to perform a validated_save() on Device AP-EsperienzeFerrari03 with an ID of 48e04ce8-43ae-4d2f-b00d-4564284165af. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:57.217494+01:00
"Unable to perform a validated_save() on Device c3750-lt234 with an ID of 1b3b3e14-a344-44e3-b026-d3a0369468d1. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",85fca47b-640d-4c02-943d-04ae2ac123a3,extras.joblogentry,unknown,error,create,"Unable to perform a validated_save() on Device c3750-lt234 with an ID of 1b3b3e14-a344-44e3-b026-d3a0369468d1. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:57.247772+01:00
"Unable to perform validated_save() on Device named c3750-lt234. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",99b13fa7-581e-4aee-a4c6-cfd8eab87590,extras.joblogentry,unknown,error,_get_or_create_virtual_chassis,"Unable to perform validated_save() on Device named c3750-lt234. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:57.257409+01:00
"Unable to update Device c3750-lt234 with an ID of 1b3b3e14-a344-44e3-b026-d3a0369468d1 with VirtualChassis data. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",47b8721a-0dc1-4e1a-afa2-e2fe1c320767,extras.joblogentry,unknown,error,create,"Unable to update Device c3750-lt234 with an ID of 1b3b3e14-a344-44e3-b026-d3a0369468d1 with VirtualChassis data. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:57.259619+01:00
"Unable to perform a validated_save() on Device c9300-LT233_Presentazione with an ID of 526cbfd1-df6b-491e-9e0f-c0c05f9c9c03. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",fcc7dc4e-0cdf-4e11-b69f-a17eb40645a3,extras.joblogentry,unknown,error,create,"Unable to perform a validated_save() on Device c9300-LT233_Presentazione with an ID of 526cbfd1-df6b-491e-9e0f-c0c05f9c9c03. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:57.290614+01:00
"Unable to perform validated_save() on Device named c9300-LT233_Presentazione. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",de3942d1-1034-410a-8930-8ae6f81093cd,extras.joblogentry,unknown,error,_get_or_create_virtual_chassis,"Unable to perform validated_save() on Device named c9300-LT233_Presentazione. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:57.300173+01:00
"Unable to update Device c9300-LT233_Presentazione with an ID of 526cbfd1-df6b-491e-9e0f-c0c05f9c9c03 with VirtualChassis data. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",3c75c2f0-0797-49d2-b238-ea6bed13697a,extras.joblogentry,unknown,error,create,"Unable to update Device c9300-LT233_Presentazione with an ID of 526cbfd1-df6b-491e-9e0f-c0c05f9c9c03 with VirtualChassis data. Validation error detail: {'location': ['Devices may not associate to locations of type ""PISTA RACING - 🏁"".']}",,,e3998d9a-5b4d-4e16-b302-a2ec3c697584,2026-03-26T16:12:57.302174+01:00
