display,id,object_type,natural_slug,log_level,grouping,message,log_object,absolute_url,job_result__id,created
Unable to perform a validated_save() on Device c9300-LT233_Presentazione-member2 with an ID of 267a2cb6-f6fb-46f3-bcdb-386d31ffaf41,4dbbbb86-ee64-4f59-a101-028ea19365c5,extras.joblogentry,unknown,error,create,Unable to perform a validated_save() on Device c9300-LT233_Presentazione-member2 with an ID of 267a2cb6-f6fb-46f3-bcdb-386d31ffaf41,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:10.961287+01:00
Unable to perform validated_save() on Device named c9300-LT233_Presentazione-member2,448e24c8-884b-4890-912b-73a794fc97e9,extras.joblogentry,unknown,error,_get_or_create_virtual_chassis,Unable to perform validated_save() on Device named c9300-LT233_Presentazione-member2,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:10.974537+01:00
Unable to update Device c9300-LT233_Presentazione-member2 with an ID of 267a2cb6-f6fb-46f3-bcdb-386d31ffaf41 with VirtualChassis data,3176b609-3d36-4a8f-8245-5e5bf2a52818,extras.joblogentry,unknown,error,create,Unable to update Device c9300-LT233_Presentazione-member2 with an ID of 267a2cb6-f6fb-46f3-bcdb-386d31ffaf41 with VirtualChassis data,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:10.976615+01:00
Unable to perform a validated_save() on Device c3750-lt234 with an ID of 1b3b3e14-a344-44e3-b026-d3a0369468d1,b2fb0d50-388b-45b6-b7c2-b433e8387407,extras.joblogentry,unknown,error,create,Unable to perform a validated_save() on Device c3750-lt234 with an ID of 1b3b3e14-a344-44e3-b026-d3a0369468d1,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:11.016823+01:00
Unable to perform validated_save() on Device named c3750-lt234,c6def95a-4948-4f7f-8746-ab366d3fe4ab,extras.joblogentry,unknown,error,_get_or_create_virtual_chassis,Unable to perform validated_save() on Device named c3750-lt234,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:11.027526+01:00
Unable to update Device c3750-lt234 with an ID of 1b3b3e14-a344-44e3-b026-d3a0369468d1 with VirtualChassis data,ba21218e-7bc4-4c96-b55a-29a650ec46d1,extras.joblogentry,unknown,error,create,Unable to update Device c3750-lt234 with an ID of 1b3b3e14-a344-44e3-b026-d3a0369468d1 with VirtualChassis data,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:11.030086+01:00
Unable to perform a validated_save() on Device FW1-BALOCCO-1 with an ID of 68880cb4-4e96-4572-b352-8ccaddf92b60,dbb4e68f-22f8-4e12-b4c0-05856654f78a,extras.joblogentry,unknown,error,create,Unable to perform a validated_save() on Device FW1-BALOCCO-1 with an ID of 68880cb4-4e96-4572-b352-8ccaddf92b60,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:11.248884+01:00
Unable to perform a validated_save() on Device FW1-BALOCCO-2 with an ID of eac00b94-e563-4da0-a730-b28c64111a18,f55c88dc-25c5-400f-b81d-1ca07c36e62a,extras.joblogentry,unknown,error,create,Unable to perform a validated_save() on Device FW1-BALOCCO-2 with an ID of eac00b94-e563-4da0-a730-b28c64111a18,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:11.355968+01:00
Unable to perform a validated_save() on Device SW-GT-BALOCCO-01 with an ID of df0e3945-f902-405e-b2c5-1c4693394e97,296f94db-7ea8-4439-bd51-8978e08a09fa,extras.joblogentry,unknown,error,create,Unable to perform a validated_save() on Device SW-GT-BALOCCO-01 with an ID of df0e3945-f902-405e-b2c5-1c4693394e97,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:11.641678+01:00
Unable to perform a validated_save() on Device AP-BALOCCO-02 with an ID of ce9fb331-0582-4750-8d66-1ee697da9194,be64e824-da1e-4260-a668-a9626e2e289d,extras.joblogentry,unknown,error,create,Unable to perform a validated_save() on Device AP-BALOCCO-02 with an ID of ce9fb331-0582-4750-8d66-1ee697da9194,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:11.757134+01:00
Unable to perform a validated_save() on Device AP-BALOCCO-06 with an ID of 3570e594-3661-4e40-bddf-5103fee3724c,50979c0d-9977-40e0-a2f0-7d61e682ca30,extras.joblogentry,unknown,error,create,Unable to perform a validated_save() on Device AP-BALOCCO-06 with an ID of 3570e594-3661-4e40-bddf-5103fee3724c,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:11.874066+01:00
Unable to perform a validated_save() on Device AP-BALOCCO-03 with an ID of 28d82269-e9b5-4ac4-b816-fcbf5acc7a86,841a3cc4-1139-4b94-9a06-36f587681a52,extras.joblogentry,unknown,error,create,Unable to perform a validated_save() on Device AP-BALOCCO-03 with an ID of 28d82269-e9b5-4ac4-b816-fcbf5acc7a86,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:11.997279+01:00
Unable to perform a validated_save() on Device AP-BALOCCO-01 with an ID of d2e5bd47-603c-45fd-b613-1a0536ffa86a,14bbaac2-580f-4a1d-89c4-01cba84f1feb,extras.joblogentry,unknown,error,create,Unable to perform a validated_save() on Device AP-BALOCCO-01 with an ID of d2e5bd47-603c-45fd-b613-1a0536ffa86a,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:12.131803+01:00
Unable to perform a validated_save() on Device AP-BALOCCO-04 with an ID of a98d86db-0e76-4800-9abc-d6b6a467739d,a5924032-7897-4d3f-bbda-7eb7d34aab32,extras.joblogentry,unknown,error,create,Unable to perform a validated_save() on Device AP-BALOCCO-04 with an ID of a98d86db-0e76-4800-9abc-d6b6a467739d,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:12.250941+01:00
Unable to perform a validated_save() on Device AP-BALOCCO-05 with an ID of dd9c062b-5f92-4eca-9f26-b26d8b23ac17,dc0af751-7d18-451e-9d17-516959d2bcf4,extras.joblogentry,unknown,error,create,Unable to perform a validated_save() on Device AP-BALOCCO-05 with an ID of dd9c062b-5f92-4eca-9f26-b26d8b23ac17,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:12.378919+01:00
"Unable to update the existing Device named FW1-Mgmt-LAN-1 with {'vendor': 'Checkpoint', 'platform': 'gaia'}. Error: {'platform': [""The assigned platform is limited to Checkpoint device types, but this device's type belongs to Check Point.""]}",141ae51c-78e3-4bee-ba7a-128581b60892,extras.joblogentry,unknown,error,update,"Unable to update the existing Device named FW1-Mgmt-LAN-1 with {'vendor': 'Checkpoint', 'platform': 'gaia'}. Error: {'platform': [""The assigned platform is limited to Checkpoint device types, but this device's type belongs to Check Point.""]}",,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:12.397924+01:00
"Unable to update the existing Device named fw1-mgmt-1-ha with {'vendor': 'Checkpoint', 'platform': 'gaia'}. Error: {'platform': [""The assigned platform is limited to Checkpoint device types, but this device's type belongs to Check Point.""]}",da99df0e-8e38-49db-b88d-cf2e945a7580,extras.joblogentry,unknown,error,update,"Unable to update the existing Device named fw1-mgmt-1-ha with {'vendor': 'Checkpoint', 'platform': 'gaia'}. Error: {'platform': [""The assigned platform is limited to Checkpoint device types, but this device's type belongs to Check Point.""]}",,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:12.605901+01:00
Sync complete.,cef4b3ec-afd5-4ad6-bae0-5cb4267f4f0c,extras.joblogentry,unknown,info,sync_data,Sync complete.,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:13.227488+01:00
Job completed,70232fc5-298a-4d43-9152-1040bec19388,extras.joblogentry,unknown,success,post_run,Job completed,,,d93a7f0a-544f-4308-8dd0-a4be6e7f83f7,2026-03-26T09:15:20.868414+01:00
